GEO_FIPS,Geo_QName,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A10062B_001
39061020701,Census Tract 207.01,6663,6663,2048.474,3.2526644911,2976,1715,1089,626,255,371,1261,646,615,2976,1119,923,387,365,110,54,18,64000,64000,65402,,,47422,,,,,65402,3107,2976,131,780,20,348,135,241,36,780,135,241,6654,184,0,153,333,781,5203,5686,337,5349,482,0,482,0,0,0,159,0,159,0,0,0,0,0,0,327,0,327,84,0,84,5650,337,5313,1491
39061020705,Census Tract 207.05,3291,3291,3028.921,1.0865254974,1312,1023,832,191,7,184,289,125,164,1312,250,598,157,190,114,3,0,68088,68088,63259,68067,,,,,75153,,63259,1400,1312,88,387,31,203,125,28,0,387,125,28,3291,87,40,31,190,293,2650,2009,116,1893,1037,17,1020,0,0,0,0,0,0,0,0,0,27,0,27,218,25,193,37,0,37,1999,116,1883,926
39061020707,Census Tract 207.07,5033,5033,1734.219,2.9021705892,2004,1555,1373,182,79,103,449,137,312,2004,409,904,228,280,114,69,0,102979,102979,103777,,,,,,,,104255,2087,2004,83,90,0,69,8,0,13,90,8,0,5033,66,139,32,61,220,4515,4930,237,4693,14,0,14,0,0,0,65,0,65,0,0,0,10,0,10,14,0,14,44,0,44,4896,237,4659,122
39061020741,Census Tract 207.41,3106,3106,6139.651,0.5058919192,1483,751,382,369,92,277,732,232,500,1483,682,377,194,125,92,13,0,45670,45670,49152,42899,,,,,,,49152,1558,1483,75,401,70,111,120,58,42,401,120,58,3106,107,238,8,203,533,2017,1602,116,1486,1154,225,929,0,0,0,151,0,151,0,0,0,37,0,37,162,12,150,0,0,0,1602,116,1486,976
39061020742,Census Tract 207.42,4252,4252,5567.743,0.7636846194,1618,1137,651,486,112,374,481,214,267,1618,391,529,284,289,79,40,6,49352,49352,57763,48103,,,,,,,53750,1740,1618,122,775,52,393,178,144,8,775,178,144,4252,161,184,152,711,473,2571,2685,374,2311,1196,60,1136,9,0,9,49,0,49,0,0,0,0,0,0,313,63,250,129,42,87,2556,332,2224,2229
39061020761,Census Tract 207.61,6932,6932,5209.173,1.3307293316,2995,1502,1111,391,168,223,1493,665,828,2995,1294,825,250,284,218,88,36,66752,66752,69688,,,88022,,,,,69688,3128,2995,133,1067,60,418,257,332,0,1067,257,332,6699,202,6,69,882,500,5040,4632,180,4452,728,51,677,11,0,11,1056,46,1010,0,0,0,37,0,37,235,0,235,100,0,100,4632,180,4452,1503
39061020762,Census Tract 207.62,3373,3373,5173.344,0.651996071,1301,840,553,287,78,209,461,127,334,1301,361,406,234,200,55,30,15,49496,49496,49030,57444,,33958,,,,,48470,1383,1301,82,487,4,278,74,83,48,487,74,83,3342,359,78,147,315,501,1942,2144,344,1800,834,53,781,0,0,0,78,0,78,0,0,0,149,149,0,137,38,99,230,162,68,2101,331,1770,1324
39061020802,Census Tract 208.02,5055,5055,1672.204,3.0229572492,1811,1330,1100,230,101,129,481,199,282,1811,325,655,343,358,55,37,38,85010,85010,85325,,,,,,,,85325,2025,1811,214,266,0,139,72,25,30,266,72,25,4994,127,48,105,141,261,4312,4490,190,4300,268,72,196,0,0,0,35,18,17,0,0,0,0,0,0,201,0,201,0,0,0,4490,190,4300,771
39061020811,Census Tract 208.11,6745,6745,3660.986,1.842400042,2726,1850,1125,725,144,581,876,306,570,2726,820,996,240,265,405,0,0,65314,65314,64895,45750,,,,,,109808,64247,2901,2726,175,936,31,493,111,210,91,936,111,210,6734,370,18,51,728,226,5341,4652,99,4553,1442,306,1136,0,0,0,40,14,26,0,0,0,71,0,71,529,20,509,224,0,224,4593,99,4494,1897
39061020812,Census Tract 208.12,4569,4569,2229.27,2.0495496504,1979,1303,936,367,131,236,676,214,462,1979,614,786,203,259,96,6,15,72969,72969,75613,54050,,,,,,,75613,1987,1979,8,416,19,253,35,85,24,416,35,85,4529,62,75,50,267,245,3830,4202,152,4050,287,35,252,0,0,0,17,0,17,0,0,0,0,0,0,23,0,23,44,0,44,4158,152,4006,832
